global_round,task_idx,round_in_task,dataset,client_id,old_task_idx,old_dataset,exp_id,run_seed,global_acc_old_task,personalized_acc_old_task,delta_pers,test_samples
101,2,1,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,D,0,0.9411764705882353,0.9411764705882353,0.0,408
101,2,1,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,D,0,nan,nan,0.0,0
102,2,2,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,D,0,0.0,0.9732704402515723,0.9732704402515723,636
102,2,2,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,D,0,nan,nan,0.9732704402515723,0
103,2,3,permuted-mnist-task2-npz,0,1,permuted-mnist-task1-npz,D,0,0.0364741641337386,0.790273556231003,0.7537993920972644,658
103,2,3,permuted-mnist-task2-npz,0,0,OLD_TASKS_MEAN,D,0,nan,nan,0.7537993920972644,0
104,2,4,permuted-mnist-task2-npz,1,1,permuted-mnist-task1-npz,D,0,0.0,0.792,0.792,125
104,2,4,permuted-mnist-task2-npz,1,0,OLD_TASKS_MEAN,D,0,nan,nan,0.792,0
105,2,5,permuted-mnist-task2-npz,1,1,permuted-mnist-task1-npz,D,0,0.736,0.736,0.0,125
105,2,5,permuted-mnist-task2-npz,1,0,OLD_TASKS_MEAN,D,0,nan,nan,0.0,0
106,2,6,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,D,0,0.8897058823529411,0.9191176470588235,0.02941176470588236,408
106,2,6,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,D,0,nan,nan,0.02941176470588236,0
107,2,7,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,D,0,0.0,0.9685534591194969,0.9685534591194969,636
107,2,7,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,D,0,nan,nan,0.9685534591194969,0
108,2,8,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,D,0,0.0024509803921568627,0.9215686274509803,0.9191176470588235,408
108,2,8,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,D,0,nan,nan,0.9191176470588235,0
109,2,9,permuted-mnist-task2-npz,4,1,permuted-mnist-task1-npz,D,0,0.029166666666666667,0.8,0.7708333333333334,480
109,2,9,permuted-mnist-task2-npz,4,0,OLD_TASKS_MEAN,D,0,nan,nan,0.7708333333333334,0
110,2,10,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,D,0,0.031862745098039214,0.9240196078431373,0.8921568627450981,408
110,2,10,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,D,0,nan,nan,0.8921568627450981,0
111,2,11,permuted-mnist-task2-npz,0,1,permuted-mnist-task1-npz,D,0,0.0,0.7173252279635258,0.7173252279635258,658
111,2,11,permuted-mnist-task2-npz,0,0,OLD_TASKS_MEAN,D,0,nan,nan,0.7173252279635258,0
112,2,12,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,D,0,0.01729559748427673,0.9685534591194969,0.9512578616352201,636
112,2,12,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,D,0,nan,nan,0.9512578616352201,0
113,2,13,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,D,0,0.9685534591194969,0.9685534591194969,0.0,636
113,2,13,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,D,0,nan,nan,0.0,0
114,2,14,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,D,0,0.0024509803921568627,0.9240196078431373,0.9215686274509804,408
114,2,14,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,D,0,nan,nan,0.9215686274509804,0
115,2,15,permuted-mnist-task2-npz,4,1,permuted-mnist-task1-npz,D,0,0.03333333333333333,0.8083333333333333,0.775,480
115,2,15,permuted-mnist-task2-npz,4,0,OLD_TASKS_MEAN,D,0,nan,nan,0.775,0
116,2,16,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,D,0,0.031862745098039214,0.9240196078431373,0.8921568627450981,408
116,2,16,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,D,0,nan,nan,0.8921568627450981,0
117,2,17,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,D,0,0.0,0.970125786163522,0.970125786163522,636
117,2,17,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,D,0,nan,nan,0.970125786163522,0
118,2,18,permuted-mnist-task2-npz,0,1,permuted-mnist-task1-npz,D,0,0.037993920972644375,0.7203647416413373,0.6823708206686929,658
118,2,18,permuted-mnist-task2-npz,0,0,OLD_TASKS_MEAN,D,0,nan,nan,0.6823708206686929,0
119,2,19,permuted-mnist-task2-npz,0,1,permuted-mnist-task1-npz,D,0,0.723404255319149,0.723404255319149,0.0,658
119,2,19,permuted-mnist-task2-npz,0,0,OLD_TASKS_MEAN,D,0,nan,nan,0.0,0
120,2,20,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,D,0,0.018867924528301886,0.9716981132075472,0.9528301886792453,636
120,2,20,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,D,0,nan,nan,0.9528301886792453,0
121,2,21,permuted-mnist-task2-npz,4,1,permuted-mnist-task1-npz,D,0,0.014583333333333334,0.8125,0.7979166666666667,480
121,2,21,permuted-mnist-task2-npz,4,0,OLD_TASKS_MEAN,D,0,nan,nan,0.7979166666666667,0
122,2,22,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,D,0,0.031862745098039214,0.928921568627451,0.8970588235294118,408
122,2,22,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,D,0,nan,nan,0.8970588235294118,0
123,2,23,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,D,0,0.0,0.9716981132075472,0.9716981132075472,636
123,2,23,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,D,0,nan,nan,0.9716981132075472,0
124,2,24,permuted-mnist-task2-npz,1,1,permuted-mnist-task1-npz,D,0,0.0,0.728,0.728,125
124,2,24,permuted-mnist-task2-npz,1,0,OLD_TASKS_MEAN,D,0,nan,nan,0.728,0
125,2,25,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,D,0,0.0,0.9716981132075472,0.9716981132075472,636
125,2,25,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,D,0,nan,nan,0.9716981132075472,0
126,2,26,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,D,0,0.0024509803921568627,0.9313725490196079,0.928921568627451,408
126,2,26,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,D,0,nan,nan,0.928921568627451,0
