global_round,task_idx,round_in_task,phase,scope,client_id,old_task_idx,old_dataset,exp_id,run_seed,lambda_max,opt_drift,batch_offsets,num_clients_used
101,2,1,before_local,global,-1,1,permuted-mnist-task1-npz,C,0,183.62943844795228,3.0689507269109026,1;0;2;4;3,5
101,2,1,before_local,client,2,1,permuted-mnist-task1-npz,C,0,3.733743190765381,3.0689507269109026,4,1
101,2,1,after_local,client,2,1,permuted-mnist-task1-npz,C,0,82.47437286376953,4.266566774418987,4,1
101,2,1,after_agg,global,-1,1,permuted-mnist-task1-npz,C,0,352.8388198852539,4.266566774418987,1;0;2;4;3,5
102,2,2,before_local,global,-1,1,permuted-mnist-task1-npz,C,0,405.6997894287109,4.266566774418987,2;1;3;5;2,5
102,2,2,before_local,client,3,1,permuted-mnist-task1-npz,C,0,611.5951538085938,4.266566774418987,7,1
102,2,2,after_local,client,3,1,permuted-mnist-task1-npz,C,0,136.49282836914062,5.844799137859966,7,1
102,2,2,after_agg,global,-1,1,permuted-mnist-task1-npz,C,0,301.4132019042969,5.844799137859966,2;1;3;5;2,5
103,2,3,before_local,global,-1,1,permuted-mnist-task1-npz,C,0,310.81041259765624,5.844799137859966,3;0;4;6;1,5
103,2,3,before_local,client,0,1,permuted-mnist-task1-npz,C,0,220.3248291015625,5.844799137859966,1,1
103,2,3,after_local,client,0,1,permuted-mnist-task1-npz,C,0,195.30062866210938,7.5331906518098535,1,1
103,2,3,after_agg,global,-1,1,permuted-mnist-task1-npz,C,0,204.98041687011718,7.5331906518098535,3;0;4;6;1,5
104,2,4,before_local,global,-1,1,permuted-mnist-task1-npz,C,0,199.74118041992188,7.5331906518098535,4;1;0;7;0,5
104,2,4,before_local,client,1,1,permuted-mnist-task1-npz,C,0,192.4071502685547,7.5331906518098535,1,1
104,2,4,after_local,client,1,1,permuted-mnist-task1-npz,C,0,37.070648193359375,7.905087833216676,1,1
104,2,4,after_agg,global,-1,1,permuted-mnist-task1-npz,C,0,83.87503967285156,7.905087833216676,4;1;0;7;0,5
105,2,5,before_local,global,-1,1,permuted-mnist-task1-npz,C,0,86.54122619628906,7.905087833216676,5;0;1;0;5,5
105,2,5,before_local,client,1,1,permuted-mnist-task1-npz,C,0,42.73654556274414,7.905087833216676,0,1
105,2,5,after_local,client,1,1,permuted-mnist-task1-npz,C,0,91.87640380859375,8.16824102107569,0,1
105,2,5,after_agg,global,-1,1,permuted-mnist-task1-npz,C,0,147.54916229248047,8.16824102107569,5;0;1;0;5,5
106,2,6,before_local,global,-1,1,permuted-mnist-task1-npz,C,0,141.80921936035156,8.16824102107569,6;1;2;1;4,5
106,2,6,before_local,client,2,1,permuted-mnist-task1-npz,C,0,89.87701416015625,8.16824102107569,4,1
106,2,6,after_local,client,2,1,permuted-mnist-task1-npz,C,0,44.15484619140625,8.447855871670114,4,1
106,2,6,after_agg,global,-1,1,permuted-mnist-task1-npz,C,0,142.43227920532226,8.447855871670114,6;1;2;1;4,5
107,2,7,before_local,global,-1,1,permuted-mnist-task1-npz,C,0,143.9556697845459,8.447855871670114,7;0;3;2;3,5
107,2,7,before_local,client,3,1,permuted-mnist-task1-npz,C,0,183.35487365722656,8.447855871670114,6,1
107,2,7,after_local,client,3,1,permuted-mnist-task1-npz,C,0,137.89697265625,8.823526002322852,6,1
107,2,7,after_agg,global,-1,1,permuted-mnist-task1-npz,C,0,213.8597381591797,8.823526002322852,7;0;3;2;3,5
108,2,8,before_local,global,-1,1,permuted-mnist-task1-npz,C,0,200.3894470214844,8.823526002322852,0;1;4;3;2,5
108,2,8,before_local,client,2,1,permuted-mnist-task1-npz,C,0,258.8450622558594,8.823526002322852,1,1
108,2,8,after_local,client,2,1,permuted-mnist-task1-npz,C,0,32.4514045715332,9.326503452977514,1,1
108,2,8,after_agg,global,-1,1,permuted-mnist-task1-npz,C,0,101.78495254516602,9.326503452977514,0;1;4;3;2,5
109,2,9,before_local,global,-1,1,permuted-mnist-task1-npz,C,0,104.54598045349121,9.326503452977514,1;0;0;4;1,5
109,2,9,before_local,client,4,1,permuted-mnist-task1-npz,C,0,151.66946411132812,9.326503452977514,5,1
109,2,9,after_local,client,4,1,permuted-mnist-task1-npz,C,0,193.1267852783203,9.931145774793748,5,1
